description,SRR11735465,SRR11735466,SRR11735467,SRR11735468,SRR11735469,SRR11735471,SRR11735472,SRR11735473,SRR11735474,SRR11735475,SRR11735476,SRR11735477,SRR11735478,SRR11735479,SRR11735480,SRR11735481,SRR11735482,SRR11735483,SRR11735484,SRR11735485,SRR11735486,SRR11735487,SRR11735488,SRR11735489,SRR11735490,SRR11735491,SRR11735492,SRR11735493,SRR11735494,SRR11735495,SRR11735496,SRR11735497,SRR11735498,SRR11735499,SRR11735500,SRR11735501,SRR11735502,SRR11735504,SRR11735505,SRR11735506,SRR5136859,SRR5136860,SRR5136861,SRR5136862,SRR5136863,SRR5136864,SRR5136865,SRR5136866,SRR5136867,SRR5136868,SRR5136869,SRR5136870,SRR5136871,SRR5136872,SRR5136873,SRR5136874,SRR5136875,SRR5136876,SRR17519993,SRR17519994,SRR17519995,SRR17519996,SRR17519997,SRR17519998,SRR17519999,SRR17520001,SRR17520002,SRR17520003,SRR17520004,SRR17520005,SRR17520006,SRR17520007,SRR17520008,SRR17520009,SRR17520010,SRR17520011,SRR17520012,SRR17520013,SRR17520014,SRR17520015,SRR17520016,SRR17520017,SRR17520018,SRR17520019,SRR17520020,SRR17520021,SRR17520022,SRR17520023,SRR17520024,SRR17520025,SRR17520026,SRR17520027,SRR17520029,SRR17520030,SRR17520031,SRR17520032,SRR17520033,SRR17520034,SRR17520035,SRR17520036,SRR17520037,SRR17520038,SRR17520039,SRR17520040,SRR17520041,SRR17520042,SRR17520043,SRR17520044,SRR17520045,SRR17520046,SRR17520047,SRR17520048,SRR17520049,SRR17520050,SRR17520051,SRR17520052,SRR17520053,SRR17520054,SRR17520055,SRR17520056,SRR17520057,SRR17520058,SRR17520059,SRR17520060,SRR17520061,SRR17520062,SRR17520063,SRR17520064,SRR17520065,SRR17520066,SRR17520067,SRR17520068,SRR10120013.fastq,SRR10120014.fastq,SRR10120015.fastq,SRR10120016.fastq,SRR10120017.fastq,SRR10120018.fastq,SRR10120019.fastq,SRR10120020.fastq,SRR10120021.fastq,SRR10120022.fastq,SRR10120023.fastq,SRR10120024.fastq,SRR10120025.fastq,SRR10120026.fastq,SRR10120027.fastq,SRR10120028.fastq,SRR10120029.fastq,SRR10120030.fastq,SRR10120031.fastq,SRR10120032.fastq,SRR10120033.fastq,SRR10120034.fastq,SRR10120035.fastq,SRR10120036.fastq,SRR10120037.fastq,SRR10120038.fastq,SRR10120039.fastq,SRR10120040.fastq,SRR10120041.fastq,SRR10120042.fastq,SRR10120043.fastq,SRR10120044.fastq,SRR10120045.fastq,SRR10120046.fastq,SRR10120047.fastq,SRR10120048.fastq,SRR10120049.fastq,SRR10120050.fastq,SRR10120051.fastq,SRR10120052.fastq,SRR10120053.fastq,SRR10120054.fastq,SRR10120055.fastq,SRR10120056.fastq,SRR10120057.fastq,SRR10120058.fastq,SRR10120059.fastq,SRR10120060.fastq,SRR10120061.fastq,SRR10120062.fastq,SRR10120063.fastq,SRR10120064.fastq,SRR10120065.fastq,SRR10120066.fastq,SRR10120067.fastq,SRR10120068.fastq,SRR10120069.fastq,SRR10120070.fastq,SRR10120071.fastq,SRR10120072.fastq,SRR10120073.fastq,SRR10120074.fastq,SRR10120075.fastq,SRR10120076.fastq,SRR10120077.fastq,SRR10120078.fastq,SRR10120079.fastq,SRR10120080.fastq,SRR10120081.fastq,SRR10120082.fastq,SRR10120083.fastq,SRR10120084.fastq,SRR10120085.fastq,SRR10120087.fastq,SRR10120088.fastq,SRR10120089.fastq,SRR10120090.fastq,SRR10120091.fastq,SRR10120092.fastq,SRR10120093.fastq,SRR10120094.fastq,SRR10120095.fastq,SRR10120096.fastq,SRR10120097.fastq,SRR10120098.fastq,SRR10120099.fastq,SRR10120100.fastq,SRR10120101.fastq,SRR10120102.fastq,SRR10120103.fastq,SRR10120104.fastq,SRR10120105.fastq,SRR10120106.fastq,SRR10120107.fastq,SRR10120108.fastq,SRR10120109.fastq,SRR10120110.fastq,SRR10120111.fastq,SRR10120112.fastq,SRR10120113.fastq,SRR10120114.fastq,SRR10120115.fastq,SRR10120116.fastq,SRR10120117.fastq,SRR10120118.fastq,SRR10120119.fastq,SRR10120120.fastq,SRR10120121.fastq,SRR10120122.fastq,SRR10120123.fastq,SRR10120124.fastq,SRR14320148,SRR14320149,SRR14320150,SRR14320151,SRR14320152,SRR14320153,SRR14320154,SRR14320155,SRR14320156,SRR14320157,SRR14320158,SRR14320159,SRR14320160,SRR14320161,SRR14320162,SRR14320163,SRR14320164,SRR14320165,SRR14320166,SRR14320167,SRR14320168,SRR14320169,SRR14320170,SRR14320171,SRR14320172,SRR14320173,SRR14320174,SRR14320175,SRR14320176,SRR14320177,SRR14320178,SRR14320179,SRR14320180,SRR14320181,SRR14320182,SRR14320183,SRR14320184,SRR14320185,SRR14320186,SRR14320187,SRR14320188,SRR14320189,SRR14320190,SRR14320191,SRR14320192,SRR14320193,SRR14320194,SRR14320195,SRR14320196,SRR14320197,SRR14320198,SRR14320199,SRR14320200,SRR14320201,SRR14320202,SRR14320203,SRR14320204,SRR14320205,SRR14320206,SRR14320207,SRR14320208,SRR14320209,SRR14320210,SRR14320211,SRR14320212,SRR14320213,SRR14320214,SRR14320215,SRR14320216,SRR14320217,SRR14320218,SRR14320219,SRR14320220,SRR14320221,SRR14320222,SRR14320223,SRR14320224,SRR14320225,SRR14320226,SRR14320227,SRR14320228,SRR14320229,SRR14320230,SRR14320231,SRR14320232,SRR14320233,SRR14320234,SRR14320235,SRR14320236,SRR14320237,SRR14320238,SRR14320239,SRR14320240,SRR14320241,SRR14320242,SRR14320243,SRR14320244,SRR14320245,SRR14320246,SRR14320247,SRR14320248,SRR14320249,SRR14320250,SRR14320251,SRR14320252,SRR14320253,SRR14320254,SRR14320255
superpathway of methylglyoxal degradation,0,0,0,0,8,2,5,0,0,0,6,0,0,0,0,0,0,0,0,0,2,6,4,0,16,0,3,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,1,5,0,0,0,0,0,0,1,1,5,0,0,0,5,0,0,9,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,6,1,0,0,0,5,0,0,0,8,0,2,1,0,4,2,9,2,0,2,6,0,0,4,0,0,5,3,1,0,0,1,3,0,9,1,0,1,3,1,9,0,0,2,5,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,10,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5,3,0,0,0,2,0,0,3,0,1,1,0,8,0,0,2,0,4,1,0,0,0,2,0,1,0,0,3,2,0,0,4,0,0,0,10,3,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,6,1,0,4,0,0,0,1,5,0,0,0,0,0,0,0,1,2,1,0,0
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0,0,4,0,13,3,14,0,11,1,9,2,0,0,0,0,1,0,0,0,3,9,6,8,14,0,4,0,3,2,0,0,0,6,0,0,0,0,0,1,12,9,6,28,23,5,8,17,13,20,4,16,18,18,12,20,10,19,19,21,20,20,13,15,8,7,10,7,15,12,10,22,18,8,16,20,9,15,12,14,15,16,23,26,23,12,14,14,18,12,12,18,11,9,18,22,15,29,14,20,6,13,7,0,10,15,11,12,24,16,7,21,13,23,13,13,27,14,18,15,14,15,14,12,20,12,22,13,19,16,23,16,15,5,5,14,5,16,10,9,6,13,11,23,11,16,3,19,12,10,7,7,12,12,10,10,5,2,2,11,3,13,8,10,19,17,19,11,3,10,9,8,4,7,24,15,25,6,18,10,24,12,24,18,16,21,15,19,11,26,21,11,11,16,12,9,17,10,6,10,13,11,14,12,22,5,5,17,8,15,12,15,18,8,6,5,12,22,11,11,15,10,23,6,16,11,25,21,17,19,28,12,10,8,6,11,2,8,10,1,9,12,12,12,11,35,14,20,21,11,19,27,17,16,27,20,15,27,13,15,18,16,10,19,15,14,22,13,17,14,4,14,8,9,23,14,19,15,13,24,14,14,12,3,13,14,24,18,17,20,20,17,18,16,16,17,18,18,22,15,15,19,13,10,10,9,17,19,9,11,17,19,14,11,10,18,28,25,23,14,23,42,7,24,22,18,19,25,12,22,25,22,17,16,12,18,12,14,10,13,16,31,18,15,23,18,10,11,12,16,21
superpathway of N-acetylneuraminate degradation,0,0,4,0,26,8,18,0,20,5,10,2,0,0,0,0,0,0,0,0,8,17,19,15,21,5,14,0,7,6,0,0,0,13,0,0,1,0,0,7,11,16,15,8,10,2,4,21,14,13,14,6,7,16,14,4,9,6,9,7,9,10,21,5,1,5,13,2,6,7,7,10,2,9,0,10,6,3,4,5,4,4,3,0,4,18,11,3,0,17,16,6,3,2,19,0,4,4,3,15,10,14,6,6,24,14,20,11,14,1,3,17,12,14,0,4,10,22,8,25,2,3,12,16,4,22,0,4,29,24,1,5,0,10,8,0,1,1,0,1,5,1,2,8,19,13,11,9,0,18,8,5,0,4,5,1,0,0,13,16,2,3,2,3,0,5,2,2,0,30,10,6,0,16,22,0,1,1,0,0,0,1,13,12,1,14,7,5,14,1,0,3,0,5,2,15,2,16,5,0,1,8,16,5,15,8,0,22,10,0,0,18,1,10,11,2,2,4,7,0,15,0,2,15,0,2,20,16,0,3,1,0,1,10,0,2,0,6,1,4,2,0,0,12,18,10,20,8,13,15,17,2,27,8,9,16,10,11,9,20,21,18,9,0,1,6,8,4,19,6,12,15,13,11,4,18,21,19,14,12,12,19,9,17,15,18,15,13,5,17,18,9,11,18,24,19,7,11,15,12,9,17,10,6,29,14,8,11,19,13,12,5,16,21,33,15,1,16,10,0,15,17,13,8,9,16,10,20,2,6,26,8,1,12,10,3,8,7,15,9,2,9,5,3,2,2,20,7,13,6,10
superpathway of ornithine degradation,0,0,2,0,12,1,7,0,9,0,7,0,0,0,0,0,1,0,0,0,4,7,5,2,16,0,5,0,2,0,0,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,1,1,1,2,0,0,3,12,0,0,0,0,0,2,1,4,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,8,0,0,0,9,0,0,0,1,4,3,3,1,0,4,4,0,1,1,0,0,4,2,0,0,1,2,4,0,5,0,0,1,0,0,7,0,0,4,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,9,0,1,0,5,0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,1,5,5,0,0,1,2,1,0,1,0,0,0,0,5,2,0,3,0,4,0,1,1,3,2,0,1,0,0,4,2,0,0,3,3,1,0,6,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,11,0,0,5,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0
superpathway of phospholipid biosynthesis I (bacteria),37,21,34,24,37,16,31,2,25,17,23,69,42,32,31,50,7,25,30,16,30,17,27,12,36,12,22,26,18,17,41,23,31,26,54,26,23,17,25,11,35,19,51,20,26,22,40,38,25,27,22,42,23,30,19,36,20,25,29,26,29,40,38,26,35,43,21,22,37,22,23,42,47,34,35,35,31,25,46,25,39,41,35,42,56,30,21,39,36,41,29,44,44,49,29,40,39,35,34,47,34,26,26,28,29,26,39,25,38,38,38,27,28,32,33,29,47,31,33,30,27,32,27,20,28,18,26,31,25,27,27,39,58,34,40,31,24,33,39,50,43,32,42,49,29,35,51,26,42,39,33,53,44,48,44,40,38,32,37,33,45,26,35,48,42,50,54,50,49,35,28,41,54,39,36,31,37,17,44,51,50,43,46,42,43,36,46,43,36,36,38,48,42,32,31,28,32,28,44,27,50,54,29,27,44,26,39,35,37,43,37,28,34,43,24,30,28,47,38,40,45,49,32,31,40,42,20,44,38,43,32,38,42,43,42,45,92,41,38,50,44,46,38,38,20,38,37,34,32,22,32,35,31,38,40,30,30,38,21,23,30,46,42,41,34,40,32,45,44,31,20,33,25,30,39,30,31,26,41,25,31,37,26,33,20,37,32,35,38,21,24,35,27,40,35,38,38,31,33,27,32,25,26,18,27,21,36,41,22,37,31,28,24,27,30,40,34,37,40,38,37,46,25,35,39,29,43,32,30,39,25,31,54,36,50,44,39,22,33,27,27,43,40,33,35,32,39,33,35,39,35
superpathway of polyamine biosynthesis I,0,0,3,0,17,1,10,0,9,2,1,3,0,0,0,0,0,0,0,0,9,11,2,8,24,1,2,0,1,4,0,0,0,5,0,0,2,0,0,1,7,3,3,0,3,2,3,2,6,4,2,0,6,14,9,19,4,8,3,0,5,3,7,1,0,0,2,1,3,13,2,3,0,3,0,2,0,0,4,1,3,7,6,2,4,10,4,1,3,4,3,5,7,10,17,3,8,4,4,6,2,13,2,0,9,17,4,5,13,0,0,6,5,3,6,2,4,7,4,6,3,0,1,10,5,16,0,0,5,17,0,2,2,5,1,2,0,2,3,2,3,0,2,2,10,14,1,4,4,3,5,5,2,6,2,2,1,0,2,4,0,3,2,1,6,1,1,1,0,7,0,2,0,11,9,5,1,1,1,2,0,4,2,5,3,2,2,2,4,0,4,7,1,2,1,5,4,4,2,2,0,0,9,0,8,8,3,12,4,1,0,10,2,2,4,6,7,0,3,0,3,1,3,3,1,1,9,1,1,1,14,4,0,5,7,1,0,6,1,0,3,3,0,4,2,5,0,5,8,3,10,4,6,0,2,13,4,5,4,10,4,2,3,1,0,2,0,0,7,3,5,2,3,4,1,3,6,6,2,0,10,5,2,4,3,2,1,2,1,8,6,0,6,2,5,4,2,2,6,9,0,1,1,3,4,1,2,3,10,4,7,2,15,6,0,5,3,0,3,0,2,1,4,1,0,4,0,4,0,1,20,3,0,4,2,4,5,1,12,6,2,1,0,1,22,7,3,0,8,6,3
superpathway of polyamine biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,3,1,1,8,0,1,4,1,6,3,9,4,3,3,3,0,7,3,3,1,0,0,7,3,3,1,4,2,0,3,0,0,0,1,1,1,1,8,0,2,2,6,2,2,0,1,2,1,0,2,6,0,2,1,0,7,2,3,2,0,10,3,3,7,4,1,1,5,1,1,0,3,7,3,6,2,2,0,1,6,1,0,0,0,5,4,0,1,2,3,0,2,0,0,0,5,1,0,2,2,4,7,2,4,0,4,2,1,4,0,2,0,0,0,2,2,1,1,0,1,0,0,3,2,0,6,2,3,1,3,2,4,1,1,1,3,0,3,1,10,2,2,4,4,2,0,1,7,0,5,4,5,4,7,0,3,3,0,0,3,5,3,6,5,3,4,0,12,1,3,0,2,5,2,2,0,0,4,5,1,1,2,1,4,1,7,5,8,0,4,0,2,0,2,3,0,0,3,1,4,4,1,3,8,8,6,12,0,5,0,6,7,2,2,4,10,1,3,1,1,0,2,0,1,6,0,1,2,5,10,4,1,12,4,1,1,6,0,3,4,6,1,2,3,5,7,2,0,7,3,5,7,1,7,5,6,1,1,0,4,7,3,0,7,9,8,3,1,7,3,0,6,0,2,5,0,9,0,3,1,2,6,0,2,1,5,3,2,0,3,0,5,3,2,5,5,0,3,0,1,5,5,0,0,3,6,0
superpathway of purine nucleotides de novo biosynthesis II,24,34,19,45,18,31,11,30,26,30,31,2,0,26,23,0,42,27,25,42,35,22,9,32,25,34,31,33,24,22,0,31,35,29,0,27,8,34,44,28,15,29,7,23,18,33,27,10,22,14,20,24,22,13,20,17,25,13,20,19,18,23,15,6,25,15,26,11,27,24,26,17,6,16,23,10,13,29,13,22,9,11,22,8,13,15,22,14,12,17,19,17,17,24,27,14,31,14,9,15,20,18,12,27,19,19,16,25,18,10,26,21,16,12,8,17,11,7,26,18,12,20,16,11,23,27,21,16,33,17,18,24,8,9,10,14,11,5,11,8,12,6,3,21,10,22,5,22,6,21,16,8,6,19,10,17,17,29,26,20,6,20,19,6,20,15,11,12,5,17,8,7,6,19,13,19,24,33,3,9,3,18,40,20,21,11,14,14,12,34,8,23,5,20,5,19,15,26,12,31,17,17,25,9,16,15,16,17,20,26,1,16,14,13,24,17,24,8,11,20,7,22,17,7,8,7,19,33,2,9,24,22,2,18,6,7,18,9,14,60,3,7,8,23,29,15,15,17,17,14,15,14,15,26,10,20,26,12,13,23,14,19,29,4,21,11,21,9,28,15,27,26,29,24,7,11,20,14,16,25,24,31,18,24,14,5,13,19,16,24,21,8,20,17,14,21,15,11,25,20,34,24,23,24,24,33,17,21,20,21,40,21,13,19,24,23,15,9,25,9,10,59,11,15,14,27,12,9,16,15,20,16,9,13,19,24,22,13,22,20,18,9,18,32,22,18,17,17,25,11,19
superpathway of pyrimidine deoxyribonucleoside salvage,8,0,8,13,20,6,18,0,10,11,10,3,0,16,26,0,4,15,14,11,14,20,8,11,24,12,22,0,12,9,0,15,24,26,0,21,7,13,0,8,8,14,5,5,14,18,18,3,19,6,13,5,11,7,10,12,17,9,15,14,10,11,15,5,17,12,9,10,18,14,24,4,2,15,11,16,8,13,12,13,5,2,14,9,6,5,13,14,6,15,16,14,10,11,7,9,16,5,6,11,11,22,6,4,15,11,10,11,15,8,17,11,13,11,4,12,4,11,13,14,9,15,6,14,11,12,13,10,17,8,19,18,5,12,5,12,8,6,14,5,9,7,2,14,7,9,2,12,6,20,4,9,7,13,17,13,15,18,14,17,6,9,17,2,13,3,5,7,0,12,7,2,1,17,10,15,5,15,3,10,1,12,21,7,9,12,6,9,13,23,4,13,2,13,8,5,8,13,6,15,4,11,7,3,10,9,7,11,8,14,1,15,3,12,14,17,12,3,3,8,12,12,8,3,6,2,14,10,0,2,15,13,0,12,5,5,10,5,17,49,4,2,5,10,8,10,10,11,10,11,11,8,15,12,8,13,17,12,10,9,17,9,11,1,9,10,9,9,9,16,17,9,18,8,6,14,9,13,14,5,14,15,13,11,9,3,8,12,4,12,5,9,11,7,8,9,12,11,11,10,11,12,11,18,14,16,6,14,17,3,19,11,21,7,8,12,9,2,12,8,9,14,10,8,7,19,7,3,7,4,15,12,4,12,9,12,8,7,5,15,5,7,6,10,8,15,7,9,18,13,11
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,0,0,7,15,16,3,17,0,18,11,12,0,0,12,0,0,5,12,0,7,5,22,11,21,15,7,11,0,8,10,0,0,15,23,0,21,0,0,0,5,3,7,11,2,6,7,3,3,21,4,12,5,12,11,15,2,5,8,9,12,7,14,17,1,18,13,17,16,21,12,16,4,2,11,8,17,8,16,6,9,5,2,6,3,5,7,13,6,3,9,15,13,7,9,15,10,16,12,4,7,10,9,9,4,12,19,8,12,13,5,11,12,15,11,3,12,7,6,9,14,4,7,13,6,11,22,12,6,15,11,11,10,12,8,1,2,1,3,14,5,7,1,1,5,4,16,0,12,2,21,4,5,1,5,8,2,9,3,8,13,6,2,4,7,2,2,4,1,1,7,3,4,2,5,3,12,12,8,3,3,0,7,11,14,4,12,5,7,10,4,4,4,4,5,8,14,8,12,5,13,3,5,12,4,17,8,7,14,15,3,0,10,5,9,8,12,24,2,4,7,4,8,11,2,9,3,10,12,1,6,7,9,1,8,3,5,3,6,12,5,4,2,1,12,11,4,12,6,10,10,9,8,8,4,5,16,15,4,2,13,11,5,16,4,12,7,4,7,9,15,6,11,9,12,8,5,20,15,10,15,11,12,9,10,15,1,12,12,7,17,16,6,24,7,15,15,8,9,11,11,13,18,21,9,14,14,12,16,19,11,7,20,8,6,3,10,4,8,13,8,6,2,12,18,9,16,4,7,7,7,25,12,6,14,9,11,2,12,14,12,18,4,11,7,13,10,12,19,13,16,11
superpathway of pyrimidine nucleobases salvage,27,43,42,36,24,32,30,22,24,23,28,59,50,27,34,51,29,40,38,28,33,29,28,24,25,29,28,36,42,37,44,27,45,27,44,36,38,42,35,39,31,25,38,25,28,29,37,25,24,24,39,30,38,35,21,62,32,47,41,35,34,32,28,45,37,39,27,36,32,37,41,27,36,54,47,45,32,38,33,41,52,40,25,44,27,20,35,36,25,41,33,22,40,32,25,31,31,31,36,32,27,21,42,44,32,31,41,43,28,30,41,26,32,30,50,31,39,25,42,29,39,47,37,34,34,19,41,40,29,17,32,35,49,31,32,32,60,29,45,31,43,47,49,45,50,35,64,26,28,32,40,30,45,36,50,39,57,42,41,35,50,47,32,37,34,46,50,38,63,35,38,43,53,38,31,45,36,32,42,48,39,44,49,37,38,46,52,50,44,45,40,42,51,27,41,42,33,47,42,37,43,40,37,44,49,52,37,29,38,38,64,23,28,44,48,42,36,30,60,32,39,37,39,61,40,39,44,38,47,33,19,40,39,44,43,58,67,31,44,60,43,51,52,33,32,34,48,41,26,32,29,36,26,40,41,43,35,29,43,27,28,30,35,47,32,40,28,32,45,35,38,37,27,34,49,37,28,39,33,33,22,36,37,32,21,36,31,39,41,34,36,40,28,28,32,34,32,38,38,30,20,32,30,26,32,32,27,38,28,29,35,30,25,33,42,36,35,39,41,51,34,59,41,39,29,36,37,41,46,44,20,31,42,36,31,39,44,46,35,43,39,47,39,31,33,41,26,27,39,30,29
superpathway of pyrimidine ribonucleosides salvage,35,35,7,42,15,33,18,36,17,24,15,0,0,31,36,0,37,6,25,25,27,22,13,30,25,27,30,32,29,32,0,32,41,28,0,22,3,39,38,31,11,27,10,13,14,24,19,12,14,5,20,9,18,13,17,26,23,12,9,14,14,10,13,5,18,8,20,4,21,28,28,3,2,23,13,15,13,34,13,20,13,2,14,7,10,9,24,15,7,14,18,4,14,12,17,19,18,12,6,11,27,24,10,37,23,16,14,14,20,2,22,27,15,9,5,11,7,11,13,12,11,20,12,9,16,14,16,11,15,21,14,11,4,6,3,9,9,3,10,3,13,11,2,10,12,10,3,19,4,23,9,7,6,21,9,16,12,23,21,19,8,7,7,2,13,3,5,2,3,14,12,3,7,11,7,12,22,11,2,4,3,16,27,13,6,8,14,13,7,27,3,21,1,10,6,15,12,10,8,29,5,14,9,4,10,15,14,25,5,18,3,21,2,9,14,22,23,2,2,7,5,11,15,3,10,4,19,22,0,3,12,21,0,17,2,1,9,8,11,36,4,2,3,19,32,6,11,15,17,17,25,9,23,13,12,22,14,5,12,12,14,10,22,2,9,15,4,9,14,25,29,12,16,17,4,9,14,17,13,24,22,27,11,11,11,4,9,12,8,11,17,10,33,11,23,26,8,14,24,25,20,19,20,19,21,21,14,23,23,13,18,20,26,17,13,11,18,5,20,9,7,35,11,13,5,20,6,6,13,10,24,10,5,10,11,26,10,11,11,12,17,10,12,22,21,15,15,10,28,9,18
superpathway of S-adenosyl-L-methionine biosynthesis,0,0,14,0,16,12,14,0,11,7,17,5,0,8,0,37,8,1,0,0,8,13,13,21,16,1,17,0,5,7,0,0,0,17,0,0,1,2,0,9,8,26,17,3,28,5,12,20,14,20,12,7,9,21,31,3,9,15,13,11,23,16,27,14,9,15,10,21,20,11,26,26,18,17,20,13,8,8,16,12,23,15,15,20,16,20,10,20,11,18,20,9,22,15,18,22,19,12,16,17,5,23,7,7,24,14,23,23,13,18,8,20,20,25,20,14,22,31,18,24,17,5,18,12,12,29,11,15,15,30,12,10,13,9,9,12,41,8,19,5,1,14,20,23,5,10,14,16,13,4,23,6,23,7,7,3,10,19,7,10,3,26,4,6,9,16,9,12,2,18,17,22,6,11,17,5,15,29,17,19,18,27,17,16,12,7,6,9,16,35,14,16,14,8,31,28,4,12,3,3,23,11,30,3,10,9,4,15,9,8,5,19,26,9,3,6,13,14,7,8,12,4,7,6,18,5,11,24,25,23,6,29,34,22,20,16,11,16,22,11,4,15,6,21,2,10,14,9,21,18,12,7,12,7,22,12,21,17,10,22,16,19,28,21,6,15,23,17,18,16,23,27,17,19,28,20,21,26,20,11,11,12,25,19,19,16,10,18,19,17,16,2,21,19,24,19,12,4,6,19,16,12,25,8,17,11,8,10,16,16,19,19,12,20,13,9,8,18,13,22,22,18,20,20,21,26,26,11,13,17,18,20,15,16,22,16,13,20,10,11,21,14,15,17,9,12,22,16,7,10,11
superpathway of salicylate degradation,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superpathway of sulfolactate degradation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
